Party,Votes,Percentage,Seats
Bharatiya Janata Party (BJP),38051721,41.29%,255
Apna Dal (Sonelal),1493181,1.62%,12
NISHAD Party,840584,0.91%,6
Samajwadi Party (SP),29543934,32.06%,111
Rashtriya Lok Dal (RLD),2630168,2.85%,8
Suheldev Bharatiya Samaj Party (SBSP),1253125,1.36%,6
Apna Dal (Kamerawadi),258103,0.28%,0
Nationalist Congress Party,44180,0.05%,0
Bahujan Samaj Party (BSP),11873137,12.88%,1
Indian National Congress (INC),2151234,2.33%,2
All India Majlis-e-Ittehadul Muslimeen,450929,0.49%,0
Aam Aadmi Party (AAP),347187,0.38%,0
Jansatta Dal (Loktantrik),191874,0.21%,2
others,1748111,1.89%,0